Parameter_code,Region_of_risk,Source_of_crisis,Product_or_component,Parameter,Amber_threshold,Red_threshold,Type_threshold,Weights
MAREQU04,Market specific / Macro,Equity_market,Bank's share,Change in banking share - change in index (daily),0.05,0.10,More,0.1111
MAREQU05,Market specific / Macro,Equity_market,Bank's share,Change in banking share - change in index (weekly),0.05,0.10,More,0.1111
MAREQU06,Market specific / Macro,Equity_market,Bank's share,Change in banking share - change in index (monthly),0.05,0.10,More,0.1111
MAREQU07,Market specific / Macro,Equity_market,Banking industry,Banking index fall in a day,0.05,0.10,More,0.1111
MAREQU08,Market specific / Macro,Equity_market,Banking industry,Banking index fall in a week,0.05,0.10,More,0.1111
MAREQU09,Market specific / Macro,Equity_market,Banking industry,Banking index fall in a month,0.10,0.20,More,0.1111
MARINT01,Market specific / Macro,Interest_rate,Interest rate risk,USD LIBOR O/N,0.10,0.15,More,0.1429
MARINT02,Market specific / Macro,Interest_rate,Interest rate risk,USD LIBOR 1M,0.10,0.15,More,0.1429
MARINT03,Market specific / Macro,Interest_rate,Interest rate risk,USD LIBOR 3M,0.10,0.15,More,0.1429
MARINT04,Market specific / Macro,Interest_rate,Interest rate risk,USD LIBOR 6M,0.10,0.15,More,0.1429
MARINT05,Market specific / Macro,Interest_rate,Interest rate risk,USD LIBOR 1Y Swap rate,0.10,0.15,More,0.1429
MARINT06,Market specific / Macro,Interest_rate,Interest rate risk,USD LIBOR 3Y Swap rate,0.10,0.15,More,0.1429
MARINT07,Market specific / Macro,Interest_rate,Basis rate,3m LIBOR - 3m OIS,0.10,0.15,More,0.1429
MARINT08,Market specific / Macro,International_economics,FX rate volatility,Change in CME Euro volatility index (daily),0.10,0.30,More,0.5000
MARINT09,Market specific / Macro,International_economics,FX rate volatility,Change in CME Euro volatility index (weekly),0.20,0.40,More,0.5000
MARCRE01,Market specific / Macro,Credit_sentiment,Bank's 5Y CDS spread,Increasing (daily),0.10,0.15,More,0.1667
MARCRE02,Market specific / Macro,Credit_sentiment,Bank's 5Y CDS spread,Increasing (weekly),0.10,0.15,More,0.1667
MARCRE03,Market specific / Macro,Credit_sentiment,Bank's 5Y CDS spread - Index (which index),Increasing (daily),0.10,0.15,More,0.1667
MARCRE04,Market specific / Macro,Credit_sentiment,Bank's 5Y CDS spread - Index (which index),Increasing (weekly),0.10,0.15,More,0.1667
MARCRE05,Market specific / Macro,Credit_sentiment,Banking sector rating / outlook,Downgrade in last 1 week by any rating agency,1.00,2.00,More,0.1667
MARCRE06,Market specific / Macro,Credit_sentiment,Sovereign (USA) rating / outlook,Downgrade in last 1 week by any rating agency,1.00,2.00,More,0.1667
